clip_context_PAIR,PROLIFIC_PID,rating_music_prompted.response,rating_spontaneity.response,rating_novelty.response,rating_familiarity.response,rating_enjoyment.response
BAR-80s_LOW_02,34,4.235294117647059,3.8823529411764706,3.3823529411764706,2.2941176470588234,3.7058823529411766
BAR-80s_LOW_06,29,4.448275862068965,4.103448275862069,3.4827586206896552,2.586206896551724,3.793103448275862
BAR-80s_MED_08,29,4.275862068965517,3.8620689655172415,2.9655172413793105,2.0,3.310344827586207
BAR-80s_MED_13,25,4.16,3.84,2.36,2.28,3.6
BAR-Ele_LOW_09,27,4.592592592592593,3.962962962962963,2.259259259259259,2.0,3.259259259259259
BAR-Ele_LOW_14,35,4.428571428571429,3.742857142857143,3.0285714285714285,2.2857142857142856,3.057142857142857
BAR-Ele_MED_19,32,4.5625,4.15625,3.0,2.03125,3.84375
BAR-Ele_MED_20,25,4.32,3.8,3.48,2.32,3.52
BAR-Jaz_LOW_19,27,4.333333333333333,3.925925925925926,3.0,1.8888888888888888,3.7777777777777777
BAR-Jaz_LOW_21,31,4.516129032258065,4.0,3.225806451612903,2.3548387096774195,3.3870967741935485
BAR-Jaz_MED_02,35,4.371428571428571,3.857142857142857,3.1142857142857143,2.5714285714285716,3.6285714285714286
BAR-Jaz_MED_07,34,4.323529411764706,3.735294117647059,2.9705882352941178,2.1470588235294117,3.764705882352941
BAR-Met_LOW_09,28,4.428571428571429,3.857142857142857,2.857142857142857,2.357142857142857,3.2142857142857144
BAR-Met_LOW_14,30,4.5,4.233333333333333,2.8333333333333335,2.1,3.7
BAR-Met_MED_19,34,4.4411764705882355,3.7941176470588234,2.735294117647059,2.411764705882353,3.176470588235294
BAR-Met_MED_20,30,4.133333333333334,3.6,2.6,2.1333333333333333,3.6
CONCERT-80s_LOW_02,30,4.566666666666666,4.033333333333333,3.0,1.7333333333333334,3.9
CONCERT-80s_LOW_06,34,4.235294117647059,4.029411764705882,3.0588235294117645,2.7058823529411766,3.588235294117647
CONCERT-80s_MED_08,27,4.407407407407407,4.333333333333333,3.111111111111111,1.8518518518518519,3.5185185185185186
CONCERT-80s_MED_13,29,4.620689655172414,4.137931034482759,3.103448275862069,2.1379310344827585,3.586206896551724
CONCERT-Ele_LOW_09,33,4.393939393939394,3.727272727272727,2.9393939393939394,1.878787878787879,3.303030303030303
CONCERT-Ele_LOW_14,28,4.392857142857143,4.142857142857143,2.2857142857142856,2.4642857142857144,3.7142857142857144
CONCERT-Ele_MED_19,31,4.548387096774194,4.064516129032258,3.032258064516129,2.2580645161290325,3.967741935483871
CONCERT-Ele_MED_20,25,4.44,3.92,2.96,2.44,3.44
CONCERT-Jaz_LOW_19,32,4.46875,3.5625,2.84375,2.34375,3.9375
CONCERT-Jaz_LOW_21,30,4.6,4.1,2.6333333333333333,2.0,3.2333333333333334
CONCERT-Jaz_MED_02,27,4.703703703703703,4.222222222222222,3.111111111111111,2.4074074074074074,3.5555555555555554
CONCERT-Jaz_MED_07,35,4.685714285714286,4.371428571428571,2.8,1.9714285714285715,4.171428571428572
CONCERT-Met_LOW_09,32,4.46875,3.9375,2.875,2.65625,3.25
CONCERT-Met_LOW_14,29,4.275862068965517,4.0344827586206895,3.310344827586207,2.2413793103448274,3.3448275862068964
CONCERT-Met_MED_19,30,4.633333333333334,4.2,2.6,2.433333333333333,3.6666666666666665
CONCERT-Met_MED_20,35,4.485714285714286,3.8285714285714287,2.3714285714285714,2.4,3.4571428571428573
MOVIE-80s_LOW_02,33,4.363636363636363,4.090909090909091,3.090909090909091,1.9696969696969697,3.727272727272727
MOVIE-80s_LOW_06,31,4.645161290322581,3.903225806451613,2.6774193548387095,2.064516129032258,3.3870967741935485
MOVIE-80s_MED_08,29,4.586206896551724,4.0,3.103448275862069,2.206896551724138,3.3793103448275863
MOVIE-80s_MED_13,30,4.166666666666667,3.7666666666666666,2.933333333333333,2.2666666666666666,3.1666666666666665
MOVIE-Ele_LOW_09,35,4.542857142857143,4.0,3.257142857142857,2.5428571428571427,3.4857142857142858
MOVIE-Ele_LOW_14,27,4.703703703703703,3.8518518518518516,2.5555555555555554,1.8518518518518519,3.2962962962962963
MOVIE-Ele_MED_19,33,4.151515151515151,3.878787878787879,3.0606060606060606,2.4242424242424243,3.8181818181818183
MOVIE-Ele_MED_20,27,4.148148148148148,3.6666666666666665,3.0,1.6666666666666667,3.6296296296296298
MOVIE-Jaz_LOW_19,31,4.419354838709677,3.5806451612903225,2.903225806451613,2.225806451612903,3.6129032258064515
MOVIE-Jaz_LOW_21,34,4.029411764705882,3.911764705882353,3.2058823529411766,2.588235294117647,3.0294117647058822
MOVIE-Jaz_MED_02,34,4.529411764705882,4.0588235294117645,2.8823529411764706,2.1176470588235294,3.6470588235294117
MOVIE-Jaz_MED_07,33,4.484848484848484,4.212121212121212,3.393939393939394,2.212121212121212,3.606060606060606
MOVIE-Met_LOW_09,31,4.387096774193548,3.870967741935484,2.6129032258064515,2.096774193548387,2.967741935483871
MOVIE-Met_LOW_14,26,4.230769230769231,3.9615384615384617,3.0384615384615383,1.8846153846153846,3.0384615384615383
MOVIE-Met_MED_19,33,4.454545454545454,4.0606060606060606,2.515151515151515,2.484848484848485,3.6363636363636362
MOVIE-Met_MED_20,31,4.548387096774194,4.161290322580645,3.096774193548387,2.7419354838709675,3.4516129032258065
VIDEOGAME-80s_LOW_02,33,4.424242424242424,4.151515151515151,3.484848484848485,2.3333333333333335,3.393939393939394
VIDEOGAME-80s_LOW_06,30,4.266666666666667,4.0,2.6,1.9,3.6333333333333333
VIDEOGAME-80s_MED_08,29,4.448275862068965,4.275862068965517,2.9310344827586206,2.310344827586207,3.3448275862068964
VIDEOGAME-80s_MED_13,33,4.363636363636363,4.0,2.696969696969697,2.0303030303030303,3.5757575757575757
VIDEOGAME-Ele_LOW_09,33,4.2727272727272725,3.6666666666666665,2.515151515151515,2.4545454545454546,3.272727272727273
VIDEOGAME-Ele_LOW_14,33,4.636363636363637,4.0,2.6363636363636362,2.303030303030303,3.303030303030303
VIDEOGAME-Ele_MED_19,32,4.375,3.96875,3.125,1.78125,3.375
VIDEOGAME-Ele_MED_20,26,4.384615384615385,4.153846153846154,2.6153846153846154,1.8461538461538463,3.5
VIDEOGAME-Jaz_LOW_19,27,4.481481481481482,4.074074074074074,2.8518518518518516,2.4814814814814814,3.7037037037037037
VIDEOGAME-Jaz_LOW_21,29,4.448275862068965,4.241379310344827,2.3448275862068964,1.7586206896551724,3.103448275862069
VIDEOGAME-Jaz_MED_02,34,4.4411764705882355,3.7941176470588234,2.7941176470588234,2.2058823529411766,3.5294117647058822
VIDEOGAME-Jaz_MED_07,35,4.428571428571429,4.285714285714286,2.6857142857142855,2.4571428571428573,3.742857142857143
VIDEOGAME-Met_LOW_09,34,4.5588235294117645,3.7941176470588234,2.411764705882353,2.0294117647058822,3.235294117647059
VIDEOGAME-Met_LOW_14,26,4.3076923076923075,3.923076923076923,2.423076923076923,2.230769230769231,3.3461538461538463
VIDEOGAME-Met_MED_19,31,4.483870967741935,4.161290322580645,2.5806451612903225,2.6451612903225805,3.2580645161290325
VIDEOGAME-Met_MED_20,27,4.518518518518518,3.8518518518518516,2.6666666666666665,2.814814814814815,3.5925925925925926
